pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
P1,author,19810,single,Q4,"Who is the author of the book ""Reincarnation (novel)""?",Suzanne Weyn,"The author is [Author Name], [year], [book title].",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09999999999999998,0.0,0.0,0.0,0.2259378731250763
P1,author,19810,single,Q4,"Who is the author of the book ""The Mysteries of Udolpho""?",Ann Radcliffe,"The author is [Author Name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09615384615384615,0.0,0.0,0.0,0.2215418666601181
P1,author,19810,single,Q4,"Who is the author of the book ""I riddarnas spår""?",Margit Sandemo,"The author is [Author Name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.17307692307692313,0.0,0.0,0.0,0.09641480445861816
P1,author,19810,single,Q4,"Who is the author of the book ""Over Sea, Under Stone""?",Susan Cooper,"The author is [Author Name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.11538461538461542,0.0,0.0,0.0,0.20677176117897034
P1,author,19810,single,Q4,"Who is the author of the book ""Venus as a Boy (novella)""?",Luke Sutherland,"The author is [Author Name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.15384615384615385,0.0,0.0,0.0,0.1931464970111847
P1,author,19810,single,Q4,"Who is the author of the book ""Blood, Sweat & Tea""?",Tom Reynolds (EMT),"The author is [Author's name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.12962962962962965,0.0,0.0,0.0,0.17354080080986023
P1,author,19810,single,Q4,"Who is the author of the book ""The Fortunate Pilgrim""?",Mario Puzo,"The author is [Author Name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.13461538461538458,0.0,0.0,0.0,0.12988761067390442
P1,author,19810,single,Q4,"Who is the author of the book ""Providence: The Story of a Fifty-Year Vision Quest""?",Daniel Quinn,"The author is [Author Name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.15384615384615385,0.0,0.0,0.0,0.18030452728271484
P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Secret Annex""?",Anne Frank,"The author is [Author's name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.12962962962962965,0.0,0.0,0.0,0.28910160064697266
P1,author,19810,single,Q4,"Who is the author of the book ""A Son of the People""?",Emma Orczy,"The author is [Author Name], or 'unsure' if unknown.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.05769230769230771,0.0,0.0,0.0,0.21913324296474457
