pattern_id,predicate,sup,card_class,pr_quartile,question,answer
P1,author,19810,single,Q4,"Who is the author of the book ""Reincarnation (novel)""?",Suzanne Weyn
P1,author,19810,single,Q4,"Who is the author of the book ""The Mysteries of Udolpho""?",Ann Radcliffe
P1,author,19810,single,Q4,"Who is the author of the book ""I riddarnas spår""?",Margit Sandemo
P1,author,19810,single,Q4,"Who is the author of the book ""Over Sea, Under Stone""?",Susan Cooper
P1,author,19810,single,Q4,"Who is the author of the book ""Venus as a Boy (novella)""?",Luke Sutherland
P1,author,19810,single,Q4,"Who is the author of the book ""Blood, Sweat & Tea""?",Tom Reynolds (EMT)
P1,author,19810,single,Q4,"Who is the author of the book ""The Fortunate Pilgrim""?",Mario Puzo
P1,author,19810,single,Q4,"Who is the author of the book ""Providence: The Story of a Fifty-Year Vision Quest""?",Daniel Quinn
P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Secret Annex""?",Anne Frank
P1,author,19810,single,Q4,"Who is the author of the book ""A Son of the People""?",Emma Orczy
P1,author,19810,single,Q4,"Who is the author of the book ""The Men Who Stare at Goats""?",Jon Ronson
P1,author,19810,single,Q4,"Who is the author of the book ""Dream Boy""?",Jim Grimsley
P1,author,19810,single,Q4,"Who is the author of the book ""Galactic Empires (anthology)""?",Gardner Dozois
P1,author,19810,single,Q4,"Who is the author of the book ""Alamut (Bartol novel)""?",Vladimir Bartol
P1,author,19810,single,Q4,"Who is the author of the book ""Empress (novel)""?",Shan Sa
P1,author,19810,single,Q4,"Who is the author of the book ""Periwinkle at the Full Moon Ball""?",Geneviève Huriet
P1,author,19810,single,Q4,"Who is the author of the book ""Hothouse (novel)""?",Brian Aldiss
P1,author,19810,single,Q4,"Who is the author of the book ""The Man-eaters of Tsavo""?",John Henry Patterson (author)
P1,author,19810,single,Q4,"Who is the author of the book ""The Fever Tree""?",Ruth Rendell
P1,author,19810,single,Q4,"Who is the author of the book ""Shepherds of the Night""?",Jorge Amado
P1,author,19810,single,Q4,"Who is the author of the book ""Teen Idol (novel)""?",Meg Cabot
P1,author,19810,single,Q4,"Who is the author of the book ""After the Bomb (game)  After the Bomb 1st edition  1""?",Erick Wujcik
P1,author,19810,single,Q4,"Who is the author of the book ""Desperate Remedies""?",Thomas Hardy
P1,author,19810,single,Q4,"Who is the author of the book ""Depths (novel)""?",Henning Mankell
P1,author,19810,single,Q4,"Who is the author of the book ""So Much to Tell You""?",John Marsden (writer)
P1,author,19810,single,Q4,"Who is the author of the book ""A Gold Slipper""?",Willa Cather
P1,author,19810,single,Q4,"Who is the author of the book ""Citizens: A Chronicle of the French Revolution""?",Simon Schama
P1,author,19810,single,Q4,"Who is the author of the book ""The Reverberator""?",Henry James
