pattern_id,predicate,sup,card_class,pr_quartile,question,answer,model_answer,verdict_exact_match,verdict_edit_sim,verdict_jaccard_sim,verdict_rouge_l,verdict_bleu,verdict_bert_cosine,exact_match,edit_sim,jaccard_sim,rouge_l,bleu,bert_cosine
P1,author,19810,single,Q4,"Who is the author of the book ""Reincarnation (novel)""?",Suzanne Weyn,"The book ""Reincarnation (novel)"" is written by Pico Iyer.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1228070175438597,0.0,0.0,0.0,0.17265605926513672
P1,author,19810,single,Q4,"Who is the author of the book ""The Mysteries of Udolpho""?",Ann Radcliffe,"The author of the book ""The Mysteries of Udolpho"" is **Charlotte Brontë**.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.06756756756756754,0.0,0.0,0.0,0.31105852127075195
P1,author,19810,single,Q4,"Who is the author of the book ""I riddarnas spår""?",Margit Sandemo,"The book ""I riddarnas spår"" is a Swedish book, and it was written by the author Astrid Lindgren. However, I need",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0892857142857143,0.0,0.0,0.0,-0.03357226774096489
P1,author,19810,single,Q4,"Who is the author of the book ""Over Sea, Under Stone""?",Susan Cooper,"The author of ""Over Sea, Under Stone"" is **Ransom Riggs**. He is an English author known for his work in young adult fiction,",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.06399999999999995,0.0,0.0,0.0,-0.05725863203406334
P1,author,19810,single,Q4,"Who is the author of the book ""Venus as a Boy (novella)""?",Luke Sutherland,"The book ""Venus as a Boy (novella)"" is by the author **J. K. Rowling**. It was published in 199",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.10526315789473684,0.0,0.0,0.0,0.07005103677511215
P1,author,19810,single,Q4,"Who is the author of the book ""Blood, Sweat & Tea""?",Tom Reynolds (EMT),"The book ""Blood, Sweat & Tea"" is written by Caitlin Moran.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.12068965517241381,0.0,0.0,0.0,0.13961613178253174
P1,author,19810,single,Q4,"Who is the author of the book ""The Fortunate Pilgrim""?",Mario Puzo,"The author of the book ""The Fortunate Pilgrim"" is John Steinbeck.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.09230769230769231,0.0,0.0,0.0,0.148889422416687
P1,author,19810,single,Q4,"Who is the author of the book ""Providence: The Story of a Fifty-Year Vision Quest""?",Daniel Quinn,"The author of the book ""Providence: The Story of a Fifty-Year Vision Quest"" is **David Grubbs**. He is an American musician,",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.08064516129032262,0.0,0.0,0.0,0.13287343084812164
P1,author,19810,single,Q4,"Who is the author of the book ""Tales from the Secret Annex""?",Anne Frank,"The author of ""Tales from the Secret Annex"" is **Anne Frank**. However, it is a collection of stories written by **Otto Frank**,",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.078125,0.0,0.16666666666666669,0.0,0.5241224765777588
P1,author,19810,single,Q4,"Who is the author of the book ""A Son of the People""?",Emma Orczy,"The book ""A Son of the People"" is written by **Joseph Conrad**. It is part of his collection *Youth: A Narrative* (also",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.03361344537815125,0.0,0.0,0.0,0.05784449726343155
P1,author,19810,single,Q4,"Who is the author of the book ""The Men Who Stare at Goats""?",Jon Ronson,"The author of the book ""The Men Who Stare at Goats"" is John Cleese. He co-wrote it with Robert Landry and Rick B",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0714285714285714,0.0,0.0,0.0,0.11818645894527435
P1,author,19810,single,Q4,"Who is the author of the book ""Dream Boy""?",Jim Grimsley,"The author of ""Dream Boy"" is John Doe. However, John Doe is a pseudonym used by the actual author, Jane Smith, who is a renowned",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.0625,0.0,0.0,0.0,0.015332954004406929
P1,author,19810,single,Q4,"Who is the author of the book ""Galactic Empires (anthology)""?",Gardner Dozois,"The book ""Galactic Empires (anthology)"" is a collection of stories by various authors, so the author is not a single person. However, if",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.08088235294117652,0.0,0.0,0.0,0.05431419983506203
P1,author,19810,single,Q4,"Who is the author of the book ""Alamut (Bartol novel)""?",Vladimir Bartol,"The book ""Alamut (Bartol novel)"" is by Zadie Smith.",hallucination,hallucination,hallucination,hallucination,hallucination,hallucination,0,0.1568627450980392,0.0,0.1818181818181818,0.0,0.37568992376327515
